id,liking,sweetness,sour,umami,intensity,Soluble solids,citric,malic acid,glucose,fructose,glutamic acid,1-nitro-2-phenylethane,1-nitro-3-methylbutane,1-octen-3-one,1-pentanol,1-penten-3-ol,1-penten-3-one,"2,5-dimethyl-4-hydroxy-3(2H)-furanone",2-butylacetate,2-ethylfuran,2-isobutylthiazole,2-methyl-1-butanol,2-methyl-2-butenal,2-methylbutyl acetate,2-methylbutyraldehyde,2-phenyl ethanol,3-methyl-1-butanol,3-methyl-1-pentanol,3-methyl-2-butenal,3-pentanone,4-carene,6-methyl-5-hepten-2-ol,6-methyl-5-hepten-2-one,b-cyclocitral,b-damascenone,benzaldehyde,benzothiazole,benzyl alcohol,benzyl cyanide,b-ionone,butyl acetate,cis-2-penten-1-ol,cis-3-hexen-1-ol,cis-3-hexenal,cis-3-hexenyl acetate,cis-4-decenal,eugenol,geranial,geranylacetone,guaiacol,heptaldehyde,hexanal,hexyl acetate,hexyl alcohol,isobutyl acetate,isopentyl acetate,isovaleraldehyde,isovaleric acid,isovaleronitrile,methional,methylsalicylate,neral,nonyl aldehyde,p-anisaldehyde,phenylacetaldehyde,prenyl acetate,propyl acetate,salicylaldehyde,"trans,trans-2,4-decadienal",trans-2-heptenal,trans-2-hexenal,trans-2-pentenal,trans-3-hexen-1-ol
779,4.0337,14.1461,15.9326,11.2921,20.3596,3.73333,3.22837,0.58836,12.38742,13.35603,0.96254,0.13628,1.23163,0.0182,1.47539,5.436,1.60856,0.04509,0.07642,0.09811,1.1998,10.92645,20.72509,1.23868,6.58814,0.00696,9.54277,0.02252,0.12714,7.43047,0.01322,0.0345,1.02687,0.039354,0.00473,0.35777,0.03096,0.04834,0.02479,0.01354,0.15132,0.41409,21.66942,27.37227,0.93819,0.3204,0.04332,0.04229,0.20681,0.1182,0.31954,16.36764,0.09483,2.17757,1.13412,0.11955,6.66884,0.02888,0.58764,0.0056,0.17116,0.08858,0.0912,0.00294,0.09322,0.00862,0.62735,0.27688,0.00415,0.05237,0.36362,1.04274,0.1918
797,17.12,19.61,12.92,13.51,26.3,7.08,3.54,0.27,28.9,27.3,12.63,1.12,6.3,0.03,1.03,0.51,0.65,0.17,0.02,0.21,9.76,4.46,2.51,0.089,5.59,0.017,9.37,0.035,0.064,2.31,0.008,0.207,1.84,0.027,0.0039,1.46,0.06,2.15,0.75,0.008,0.016,0.22,2.98,3.68,0.44,0.42,0.012,0.11,0.27,0.02,1.77,6.98,0.07,0.3,0.08,0.012,6.02,0.028,8.78,0.02,0.01,0.14,0.11,0.002,0.18,0.003,0.04,0.05,0.01,0.1,0.3,0.36,0.14
837,18.92,19.99,13.83,11.56,25.73,6.57,3.68,0.36,25.99,24.91,9.28,1.22,0.95,0.02,0.5,0.51,0.36,0.12,0.02,0.02,6,0.92,0.99,0.015,3.74,0.029,1.48,0.032,0.031,1.1,0.008,0.227,1.11,0.031,0.0053,2.3,0.073,0.75,0.43,0.009,0.006,0.12,5.5,5.94,0.29,0.38,0.008,0.14,0.15,0.07,0.31,10.71,0.02,0.98,0.05,0.004,1.29,0.019,1.54,0.01,0.14,0.12,0.17,0.002,0.22,0.004,0.01,0.05,0.01,0.13,0.32,0.35,0.03
848,13.38,13.99,12.13,14.21,23.62,3.93,3.13,0.42,13.23,14.54,5.2,0.91,3.51,0.02,0.42,0.56,0.33,0.02,0.03,0.55,0.86,2.31,3.33,0.206,8.77,0.004,2.22,0.034,0.047,2.53,0.032,0.025,1.45,0.02,0.0029,0.37,0.035,0.25,0.14,0.006,0.045,0.16,6.47,6.5,0.34,0.23,0.049,0.09,0.1,0.04,1.4,30.11,0.14,4.03,0.24,0.014,5.96,0.025,2.91,0.13,0.04,0.05,0.05,0.002,0.13,0.003,0.08,0.08,0,0.05,0.14,0.21,0.03
887,15.8989,20.0112,18.1236,12.427,27,4.23333,3.55177,0.49947,14.51069,16.34043,1.39429,0.2972,1.2294,0.0304,3.00186,3.32452,0.97109,0.24023,0.14308,0.08341,1.5955,7.77115,10.05951,0.70364,4.01738,0.00953,8.55164,0.05683,0.2164,6.83394,0.0128,0.14093,3.97252,0.06757,0.004392,1.66267,0.20525,0.05825,0.07212,0.02117,0.15037,0.5183,30.71029,21.60242,1.37231,0.97047,0.2802,0.15212,1.012,0.31688,0.83365,49.57738,0.4297,17.46178,0.60502,0.06502,4.72061,0.02245,0.72721,0.02288,0.27656,0.12104,0.12633,0.00613,0.14053,0.01401,0.46094,0.85291,0.00972,0.22687,0.67532,0.70856,0.29838
896,3.7368,13.7895,10.7763,9.7237,18.0921,4.2,1.50933,0.82995,14.73208,14.99864,1.36819,1.07485,17.21996,0.03163,2.24278,5.92859,0.97405,0.08734,0.08863,0.17759,6.87194,32.93035,21.58082,1.59829,5.28706,0.26727,41.36691,0.25751,0.1881,4.57772,0.00905,0.06993,3.39183,0.069414,0.007479,1.71849,0.14348,0.42203,0.13139,0.02627,0.08432,1.09317,42.69022,50.03301,1.18267,0.92664,0.01321,0.089,0.39354,0.012,2.05873,48.53916,0.12445,5.24658,1.91253,0.15596,12.74667,0.04311,9.2045,0.05049,0.01963,0.10229,0.16886,0.01423,0.77104,0.00632,0.45246,0.07436,0.00557,0.12284,1.29126,0.9103,0.80312
905,6.3171,14.9146,15.7805,12.6585,23.561,3.93333,3.51773,0.50794,11.54214,14.09362,1.57291,2.2634,6.71798,0.02463,3.37708,4.20946,0.53668,0.07546,0.7091,0.20512,3.57047,27.24048,21.89956,3.45925,6.72981,0.48044,20.77302,0.6678,0.43544,5.43703,0.02122,0.13718,6.59232,0.138941,0.007209,2.28462,0.14899,0.14915,0.28943,0.04231,0.24741,0.81673,39.23468,23.76366,1.86343,1.21777,0.50474,0.19875,1.7479,0.2873,1.20873,60.5196,0.74012,27.03356,4.61431,0.2201,9.75735,0.04444,2.5324,0.02309,0.19219,0.23342,0.19064,0.00338,0.34813,0.06647,0.75878,0.5769,0.00657,0.13849,1.0474,0.3882,0.59612
910,13.71,19.13,13.21,13.71,25.18,7.93,3.1,0.31,31.42,27.89,12.92,1.54,55.77,0.03,1.16,1.62,1.53,0.25,0.02,0.08,21.99,9.45,2.31,0.03,6.2,0.011,53.33,0.062,0.068,3.83,0.009,0.162,1.84,0.025,0.0039,1.9,0.089,3.85,0.66,0.01,0.031,0.55,2.54,6.94,0.76,1.19,0.009,0.08,0.42,0.04,17.26,7.76,0.2,0.04,0.07,0.011,27.67,0.103,58.19,0.03,0.02,0.18,0.18,0.003,0.18,0.005,0.04,0.04,0.01,0.17,0.45,0.77,0.86
962,10.67,14.69,14.97,13.37,25.3,4.67,4.1,0.36,13.34,16.22,5.98,0.82,15.45,0.04,0.44,0.73,0.71,0.2,0.06,0.03,8.2,5.78,5.22,0.665,9.04,0.016,15.41,0.063,0.096,5.13,0.04,0.036,0.32,0.078,0.0046,0.94,0.071,2.32,0.31,0.019,0.076,0.77,2.41,10.91,1.1,0.94,0.069,0.04,0.01,0.04,4.93,37.54,0.34,0.7,0.6,0.234,19.76,0.11,5.59,1.59,0.01,0.14,0.09,0.011,0.12,0.007,0.25,0.07,0.01,0.2,0.47,0.42,0.04
982,9.9211,13.6711,12.9474,12.0526,20.7895,4.03333,2.45587,0.46085,13.60503,14.53125,1.57593,0.70325,11.0224,0.01912,2.14397,5.24741,1.12858,0.06286,0.0972,0.12303,2.94713,35.60514,26.43833,2.06493,8.15251,0.09548,28.73171,0.35186,0.21015,8.65387,0.01013,0.0368,2.76128,0.074549,0.003763,2.06097,0.25796,0.08809,0.0653,0.01607,0.17302,0.99879,23.88568,28.53695,0.75522,0.56668,0.15023,0.07152,0.36565,0.09978,0.94151,15.2135,0.08225,1.60374,1.83113,0.16263,14.68844,0.05933,5.66101,0.04428,0.1188,0.22288,0.10271,0.00268,0.57342,0.00877,0.66336,0.54179,0.00434,0.04548,0.72074,0.5573,0.63774
