model,experiment,type,intensity,sour,sweetness,liking
gBLUP,43,metabolomic,0.856863935,0.518675012,0.668009132,0.561584176
gBLUP,44,metabolomic,0.740829776,0.625838848,0.677140732,0.335703859
gBLUP,45,metabolomic,0.75798714,0.590159283,0.713831502,0.470797375
gBLUP,46,metabolomic,0.757907891,0.448985153,0.617023501,0.4186703
gBLUP,47,metabolomic,0.827629179,0.52122258,0.712547134,0.384277608
gBLUP,48,metabolomic,0.796705133,0.547639267,0.677617127,0.487003336
gBLUP,49,metabolomic,0.786687581,0.567527701,0.700044058,0.489757181
gBLUP,50,metabolomic,0.782713736,0.460592245,0.731291827,0.437533215
gBLUP,51,metabolomic,0.778445075,0.539299721,0.64068343,0.497681544
gBLUP,52,metabolomic,0.738330543,0.570329235,0.652200055,0.306511746
gBLUP,53,metabolomic,0.771663107,0.587580829,0.659704249,0.370478012
gBLUP,54,metabolomic,0.818382362,0.554701507,0.667796771,0.479154072
gBLUP,55,metabolomic,0.824157103,0.519136388,0.69172951,0.473173549
gBLUP,56,metabolomic,0.75376708,0.571782597,0.719193964,0.539069614
gBLUP,57,metabolomic,0.825462572,0.541867356,0.711801295,0.414145779
gBLUP,58,metabolomic,0.732224411,0.578282624,0.593511977,0.310058165
gBLUP,59,metabolomic,0.657193709,0.489421164,0.55130716,0.354749574
gBLUP,60,metabolomic,0.801806299,0.634552559,0.706928607,0.537174416
gBLUP,61,metabolomic,0.725771609,0.495498712,0.708431308,0.455354436
gBLUP,62,metabolomic,0.741444357,0.537596286,0.663808507,0.508932141
gBLUP,63,metabolomic,0.747810805,0.581846186,0.632531428,0.377506346
gBLUP,64,metabolomic,0.751245428,0.433769826,0.714112519,0.549455754
gBLUP,65,metabolomic,0.826766466,0.564485244,0.603410931,0.462084775
gBLUP,66,metabolomic,0.730428062,0.504085409,0.71052014,0.517470727
gBLUP,67,metabolomic,0.795016212,0.634113019,0.6981963,0.456232091
gBLUP,68,metabolomic,0.863792249,0.612669333,0.74416679,0.528644757
gBLUP,69,metabolomic,0.817950039,0.513798369,0.727710816,0.568222705
gBLUP,70,metabolomic,0.754922442,0.531356045,0.681978193,0.467782083
gBLUP,71,metabolomic,0.740222911,0.429798599,0.761682249,0.56094407
gBLUP,72,metabolomic,0.759218293,0.516974419,0.609701731,0.309651609
gBLUP,73,metabolomic,0.792389514,0.52995138,0.649251851,0.456178902
gBLUP,74,metabolomic,0.765877865,0.498641202,0.666639736,0.512362674
gBLUP,75,metabolomic,0.783400309,0.414348175,0.699569187,0.438019352
gBLUP,76,metabolomic,0.828320368,0.522769554,0.71013668,0.401504119
gBLUP,77,metabolomic,0.785080966,0.584715877,0.589435127,0.404007577
gBLUP,78,metabolomic,0.766894981,0.433724118,0.543147897,0.41476287
gBLUP,79,metabolomic,0.759932454,0.573497271,0.702400655,0.458227634
gBLUP,80,metabolomic,0.756675962,0.441522562,0.778476457,0.566352843
gBLUP,81,metabolomic,0.805268839,0.546376032,0.633194476,0.484795571
gBLUP,82,metabolomic,0.734672252,0.61403761,0.619934992,0.312973535
